2025-03-26 18:20:51.7668 | INFO | Found 0 hospitals:
2025-03-26 18:20:51.8055 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 18:20:51.8055 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:21:09.5079 | INFO | Navigating to homepage...
2025-03-26 18:21:22.6326 | INFO | Scrolling through hospital results...
2025-03-26 18:21:26.7314 | ERROR | ❌ Test failed: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=131.0.6778.205)
2025-03-26 18:21:26.7314 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:35:16.6592 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:35:18.8440 | INFO | Navigating to homepage...
2025-03-26 18:35:18.8549 | ERROR | ❌ Test failed: Cannot access a disposed object.
Object name: 'System.Net.Http.HttpClient'.
2025-03-26 18:35:18.8549 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:36:45.2292 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:36:46.7003 | INFO | Navigating to homepage...
2025-03-26 18:36:46.7003 | ERROR | ❌ Test failed: Cannot access a disposed object.
Object name: 'System.Net.Http.HttpClient'.
2025-03-26 18:36:46.7003 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:44:53.6294 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:45:00.7811 | INFO | Navigating to homepage...
2025-03-26 18:45:11.9171 | INFO | Verifying that hospital results have loaded...
2025-03-26 18:45:27.3387 | INFO | Navigating to homepage...
2025-03-26 18:45:32.5802 | ERROR | ❌ Test failed: No suggestion marked as type 'TYPE' was found.
2025-03-26 18:45:32.5802 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:45:44.6154 | INFO | Navigating to homepage...
2025-03-26 18:45:58.5026 | INFO | Verifying that hospital results have loaded...
2025-03-26 18:46:00.5538 | ERROR | ❌ Test failed:   Search results did not load correctly.
Assert.That(resultsVisible, Is.True)
  Expected: True
  But was:  False

2025-03-26 18:46:00.5538 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:50:20.6606 | INFO | Navigating to homepage...
2025-03-26 18:50:35.5980 | INFO | Verifying that hospital results have loaded...
2025-03-26 18:50:35.6368 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:57:51.6326 | INFO | Navigating to homepage...
2025-03-26 18:58:05.1287 | INFO | Verifying that hospital results have loaded...
2025-03-26 18:58:05.1721 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:58:07.6922 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:58:13.2244 | ERROR | ❌ Test failed: Could not find file 'C:\Users\2391612\OneDrive - Cognizant\Desktop\Training\FindingHospitalsAutomation\FindingHospitalsAutomation\bin\Debug\net8.0\hospitalSearch.json'.
2025-03-26 18:58:13.2244 | INFO | 🧹 Closing browser after scenario...
2025-03-26 18:58:20.1348 | ERROR | ❌ Test failed: Could not find file 'C:\Users\2391612\OneDrive - Cognizant\Desktop\Training\FindingHospitalsAutomation\FindingHospitalsAutomation\bin\Debug\net8.0\hospitalSearch.json'.
2025-03-26 18:58:20.1348 | INFO | 🧹 Closing browser after scenario...
2025-03-26 19:00:35.0641 | INFO | Navigating to: https://www.practo.com/search/hospitals?results_type=hospital&q=[{"word":"hospital","autocompleted":true,"category":"type"}]&city=Bangalore
2025-03-26 19:00:40.8621 | INFO | Scrolling through hospital results...
2025-03-26 19:01:01.2865 | INFO | Filtering hospitals with rating ≥ 4.5 and Open 24x7...
2025-03-26 19:01:01.3004 | INFO | Found 0 hospitals:
2025-03-26 19:01:01.3355 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 19:01:01.3355 | INFO | 🧹 Closing browser after scenario...
2025-03-26 19:01:09.5174 | ERROR | ❌ Test failed:   No matching hospitals were found.
Assert.That(hospitalResults.Count, Is.GreaterThan(0))
  Expected: greater than 0
  But was:  0

2025-03-26 19:01:09.5174 | INFO | 🧹 Closing browser after scenario...
